sp,owner,DNA code
Quercus pontica , SIMEONE ,OAK-MOR-989
Quercus pyrenaica , HIPP ,OAK-MOR-533
Quercus petraea , SIMEONE ,OAK-MOR-995
Quercus robur , SIMEONE ,OAK-MOR-692
Quercus frainetto , SIMEONE ,OAK-MOR-1041
Quercus lusitanica , SIMEONE ,OAK-MOR-988
Quercus canariensis , HIPP ,OAK-MOR-534
Quercus faginea , SIMEONE ,OAK-MOR-001153
Quercus macranthera , SIMEONE ,OAK-MOR-1142
Quercus pubescens , SIMEONE ,OAK-MOR-001218
Quercus vulcanica , SIMEONE ,OAK-MOR-990
Quercus infectoria , SIMEONE ,OAK-MOR-992
Quercus boissieri , AVISHAI ,OAK-MOR-649
Notholithocarpus densiflorus , MANOS ,PM_F7
Quercus crenata , SIMEONE ,OAK-MOR-593
Quercus crenata , SIMEONE ,OAK-MOR-986
Quercus suber , SIMEONE ,OAK-MOR-985
Quercus suber , SIMEONE ,OAK-MOR-588
Quercus suber , SIMEONE ,OAK-MOR-1144
Quercus cerris , SIMEONE ,OAK-MOR-591
Quercus cerris , AVISHAI ,OAK-MOR-736
Quercus castaneifolia , SIMEONE ,OAK-MOR-1040
Quercus look , AVISHAI ,OAK-MOR-727
Quercus cerris , SIMEONE ,OAK-MOR-1061
Quercus cerris , SIMEONE ,OAK-MOR-1060
Quercus cerris , AVISHAI ,OAK-MOR-729
Quercus cerris , AVISHAI ,OAK-MOR-728
Quercus trojana , HIPP ,OAKS-MOR-585
Quercus libani , AVISHAI ,OAK-MOR-628
Quercus afares , SIMEONE ,OAK-MOR-983
Quercus libani , HIPP ,OAK-MOR-191
Quercus brantii , AVISHAI ,OAK-MOR-659
Quercus macrolepis , AVISHAI ,OAK-MOR-662
Quercus ithaburensis , SIMEONE ,OAK-MOR-1055
Quercus ithaburense , AVISHAI ,OAK-MOR-735
Quercus ithaburensis , AVISHAI ,OAK-MOR-599
Quercus chenii , SIMEONE ,OAK-MOR-982
Quercus acutissima , HIPP ,OAK-MOR-578
Quercus variabilis , SIMEONE ,OAK-MOR-981
Quercus floribunda , SIMEONE ,OAK-MOR-975
Quercus gujavifolia , SIMEONE ,OAK-MOR-997
Quercus monimotricha , DENG ,DM68
Quercus pseudosemecarpifolia , SIMEONE ,OAK-MOR-977
Quercus semecarpifolia , SIMEONE ,OAK-MOR-1042
Quercus alnifolia , AVISHAI ,OAK-MOR-674
Quercus aucheri , SIMEONE ,OAK-MOR-979
Quercus coccifera , SIMEONE ,OAK-MOR-001152
Quercus calliprinos , SIMEONE ,OAK-MOR-1145
Quercus coccifera , SIMEONE ,OAK-MOR-001219
Quercus ilex , SIMEONE ,OAK-MOR-589
Quercus ilex ssp. rotundifolia , SIMEONE ,OAK-MOR-980
Quercus ilex , SIMEONE ,OAK-MOR-1146
Quercus baloot , SIMEONE ,OAK-MOR-974
Quercus baronii , HIPP ,OAK-MOR-608
Quercus phillyreoides , SIMEONE ,OAK-MOR-994
Quercus dolicholepis , SIMEONE ,OAK-MOR-978
Quercus austrocochinchinensis , DENG ,DM47
Quercus championii , DENG ,DM20
Quercus gilva , DENG ,DM56
Quercus lamellosa , DENG ,DM18
Quercus blakei , DENG ,DM5
Quercus coccinea , HIPP ,OAK-MOR-JW-2604
